Filename,LIX Score,Model,Ground Truth,Difference
diva_short/diva_short_1.txt,"101",llama-3.2-1b-preview,27,74
diva_short/diva_short_1.txt,"20.03",llama-3.2-3b-preview,27,-6.97
diva_short/diva_short_1.txt,"32.33",llama-3.2-11b-text-preview,27,5.33
diva_short/diva_short_1.txt,24.5,llama-3.2-90b-text-preview,27,-2.5
diva_short/diva_short_2.txt,119.046,llama-3.2-1b-preview,31,88.046
diva_short/diva_short_2.txt,"39.63",llama-3.2-3b-preview,31,8.63
diva_short/diva_short_2.txt,"59.33",llama-3.2-11b-text-preview,31,28.33
diva_short/diva_short_2.txt,"53.17",llama-3.2-90b-text-preview,31,22.17
diva_short/diva_short_3.txt,LIX = 2 + (4 * 100) / 5,llama-3.2-1b-preview,33,N/A
diva_short/diva_short_3.txt,"37.83",llama-3.2-3b-preview,33,4.83
diva_short/diva_short_3.txt,"38.71",llama-3.2-11b-text-preview,33,5.71
diva_short/diva_short_3.txt,"57.33",llama-3.2-90b-text-preview,33,24.33
diva_short/diva_short_4.txt,0.25,llama-3.2-1b-preview,40,-39.75
diva_short/diva_short_4.txt,"31.07",llama-3.2-3b-preview,40,-8.93
diva_short/diva_short_4.txt,"",llama-3.2-11b-text-preview,40,N/A
diva_short/diva_short_4.txt,"72.935",llama-3.2-90b-text-preview,40,32.935
diva_short/diva_short_5.txt,0.467,llama-3.2-1b-preview,51,-50.533
diva_short/diva_short_5.txt,"51.17",llama-3.2-3b-preview,51,0.17
diva_short/diva_short_5.txt,"48.71",llama-3.2-11b-text-preview,51,-2.29
diva_short/diva_short_5.txt,"72.935",llama-3.2-90b-text-preview,51,21.935
mimers_brunn_short/mimers_brunn_short_1.txt,4.2617,llama-3.2-1b-preview,36,-31.7383
mimers_brunn_short/mimers_brunn_short_1.txt,"37.83",llama-3.2-3b-preview,36,1.83
mimers_brunn_short/mimers_brunn_short_1.txt,"40.05",llama-3.2-11b-text-preview,36,4.05
mimers_brunn_short/mimers_brunn_short_1.txt,"55.84",llama-3.2-90b-text-preview,36,19.84
mimers_brunn_short/mimers_brunn_short_2.txt,"152.0",llama-3.2-1b-preview,38,114
mimers_brunn_short/mimers_brunn_short_2.txt,"6.72",llama-3.2-3b-preview,38,-31.28
mimers_brunn_short/mimers_brunn_short_2.txt,"42.57",llama-3.2-11b-text-preview,38,4.57
mimers_brunn_short/mimers_brunn_short_2.txt,19.5,llama-3.2-90b-text-preview,38,-18.5
mimers_brunn_short/mimers_brunn_short_3.txt,"38.5",llama-3.2-1b-preview,43,-4.5
mimers_brunn_short/mimers_brunn_short_3.txt,"80.78",llama-3.2-3b-preview,43,37.78
mimers_brunn_short/mimers_brunn_short_3.txt,"58.176",llama-3.2-11b-text-preview,43,15.176
mimers_brunn_short/mimers_brunn_short_3.txt,19.5,llama-3.2-90b-text-preview,43,-23.5
mimers_brunn_short/mimers_brunn_short_4.txt,36.56,llama-3.2-1b-preview,43,-6.44
mimers_brunn_short/mimers_brunn_short_4.txt,"51.17",llama-3.2-3b-preview,43,8.17
mimers_brunn_short/mimers_brunn_short_4.txt,"52.3023",llama-3.2-11b-text-preview,43,9.3023
mimers_brunn_short/mimers_brunn_short_4.txt,51.4,llama-3.2-90b-text-preview,43,8.4
mimers_brunn_short/mimers_brunn_short_5.txt,"34.67",llama-3.2-11b-text-preview,36,-1.33
mimers_brunn_short/mimers_brunn_short_5.txt,"58.18",llama-3.2-90b-text-preview,36,22.18
